# Force          
# CofR           : 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
#                
# Time           	total_x total_y total_z	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2.765            	-3.0473775726e-02 -5.3773664313e-02 2.9760777059e-01	(-3.2505728354e-02 -5.5445443036e-02 2.9628828109e-01)	(2.0319526286e-03 1.6717787223e-03 1.3194895024e-03)
2.766            	-3.0554964169e-02 -5.3808701055e-02 2.9875783667e-01	(-3.2584504888e-02 -5.5483616991e-02 2.9743899431e-01)	(2.0295407195e-03 1.6749159363e-03 1.3188423541e-03)
2.767            	-3.0536130237e-02 -5.3548271679e-02 2.9886892465e-01	(-3.2563657623e-02 -5.5226275542e-02 2.9755081665e-01)	(2.0275273866e-03 1.6780038627e-03 1.3181079971e-03)
2.768            	-3.0838757881e-02 -5.3385373746e-02 2.9955535097e-01	(-3.2863802234e-02 -5.5066559409e-02 2.9823798360e-01)	(2.0250443530e-03 1.6811856633e-03 1.3173673751e-03)
2.769            	-3.0974826505e-02 -5.3253841525e-02 3.0023330689e-01	(-3.2997295432e-02 -5.4938191999e-02 2.9891670028e-01)	(2.0224689267e-03 1.6843504734e-03 1.3166066131e-03)
2.77             	-3.1100311096e-02 -5.3011052527e-02 3.0043226756e-01	(-3.3120239800e-02 -5.4698605661e-02 2.9911650792e-01)	(2.0199287042e-03 1.6875531341e-03 1.3157596389e-03)
2.771            	-3.1188225059e-02 -5.2859846133e-02 3.0102682876e-01	(-3.3205748843e-02 -5.4550567562e-02 2.9971190075e-01)	(2.0175237837e-03 1.6907214285e-03 1.3149280120e-03)
2.772            	-3.1333711092e-02 -5.2601893045e-02 3.0116319628e-01	(-3.3348753300e-02 -5.4295791605e-02 2.9984917189e-01)	(2.0150422078e-03 1.6938985596e-03 1.3140243888e-03)
2.773            	-3.1471995465e-02 -5.2617748622e-02 3.0244333696e-01	(-3.3484620501e-02 -5.4314743932e-02 3.0113013689e-01)	(2.0126250354e-03 1.6969953102e-03 1.3132000748e-03)
2.774            	-3.2358445394e-02 -5.2006611653e-02 3.0063048588e-01	(-3.4366412267e-02 -5.3706237104e-02 2.9931861896e-01)	(2.0079668729e-03 1.6996254514e-03 1.3118669213e-03)
2.775            	-3.1862787143e-02 -5.2161494849e-02 3.0314239932e-01	(-3.3867994545e-02 -5.3864335994e-02 3.0183137226e-01)	(2.0052074025e-03 1.7028411446e-03 1.3110270531e-03)
2.776            	-3.1741365076e-02 -5.2181114285e-02 3.0435627561e-01	(-3.3744579086e-02 -5.3887055102e-02 3.0304605104e-01)	(2.0032140099e-03 1.7059408165e-03 1.3102245681e-03)
2.777            	-3.2495465507e-02 -5.1211354181e-02 3.0113059808e-01	(-3.4494740393e-02 -5.2920273861e-02 2.9982176669e-01)	(1.9992748869e-03 1.7089196798e-03 1.3088313899e-03)
2.778            	-3.2435656966e-02 -5.1793541988e-02 3.0578773499e-01	(-3.4431924397e-02 -5.3505802314e-02 3.0447966033e-01)	(1.9962674316e-03 1.7122603265e-03 1.3080746641e-03)
2.779            	-3.2233658233e-02 -5.1804593341e-02 3.0632638767e-01	(-3.4227778407e-02 -5.3519668214e-02 3.0501915136e-01)	(1.9941201747e-03 1.7150748731e-03 1.3072363109e-03)
2.78             	-3.1933960494e-02 -5.1904153088e-02 3.0851501979e-01	(-3.3927120269e-02 -5.3622410246e-02 3.0720839133e-01)	(1.9931597747e-03 1.7182571586e-03 1.3066284646e-03)
2.781            	-3.2374664994e-02 -5.1403132362e-02 3.0749524888e-01	(-3.4365887700e-02 -5.3124441592e-02 3.0618951349e-01)	(1.9912227062e-03 1.7213092301e-03 1.3057353936e-03)
2.782            	-3.3111332314e-02 -5.0449691151e-02 3.0410054841e-01	(-3.5098789964e-02 -5.2173697786e-02 3.0279632949e-01)	(1.9874576501e-03 1.7240066358e-03 1.3042189202e-03)
2.783            	-3.2451986632e-02 -5.1296733131e-02 3.0987860996e-01	(-3.4438026878e-02 -5.3023803462e-02 3.0857507834e-01)	(1.9860402462e-03 1.7270703307e-03 1.3035316113e-03)
